Timestamp,Record,ABSSpd Avg,ABSSpd Avg [Quality],AbsTilt Avg,AbsTilt Avg [Quality],Direction Avg,Direction Avg [Quality],EastCur Avg,EastCur Avg [Quality],Gill DewPoint Avg,Gill DewPoint Avg [Quality],Gill Latitude,Gill Latitude [Quality],Gill Longitude,Gill Longitude [Quality],Gill Pressure,Gill Pressure [Quality],Gill Rain mm Tot,Gill Rain mm Tot [Quality],Gill TotalDailyRain mm,Gill TotalDailyRain mm [Quality],Gill TotalRain mm,Gill TotalRain mm [Quality],Gill Wd MeanUnitVector,Gill Wd MeanUnitVector [Quality],Gill Wd StdDev,Gill Wd StdDev [Quality],Gill WindSpd Max,Gill WindSpd Max [Quality],Gill Ws Mean,Gill Ws Mean [Quality],Heading Avg,Heading Avg [Quality],MaxTilt Avg,MaxTilt Avg [Quality],NorthCur Avg,NorthCur Avg [Quality],PingCnt Avg,PingCnt Avg [Quality],SigStrength Avg,SigStrength Avg [Quality],SPstd Avg,SPstd Avg [Quality],StdTilt Avg,StdTilt Avg [Quality],TiltX Avg,TiltX Avg [Quality],TiltY Avg,TiltY Avg [Quality]
Units,,,,,,,,,,Celcius,,,,,,hPa,,mm,,,,mm,,Deg,,Deg,,m/s,,m/s,,,,,,,,,,,,,,,,,,,
2024/12/26 7:20,211680,15.316,,0.857,,280.702,,-15.05,,,,-20.169,,148.464,,,,0,,0,,0,,346.7,,,,3.71,,1.509,,334.019,,0.893,,2.844,,100,,-44.26,,4.712,,0.024,,-0.185,,0.833,
2024/12/26 7:30,211681,14.657,,0.906,,292.973,,-13.494,,,,-20.169,,148.464,,,,0,,0,,0,,343.3,,,,3.26,,1.786,,333.385,,1.022,,5.72,,100,,-43.297,,4.746,,0.088,,-0.63,,0.443,
2024/12/26 7:40,211682,10.099,,0.745,,259.829,,-9.941,,,,-20.169,,148.464,,,,0,,0,,0,,9.65,,,,3.19,,1.334,,312.319,,1.721,,-1.783,,100,,-43.756,,3.984,,0.173,,-0.035,,0.738,
2024/12/26 7:50,211683,10.54,,0.895,,237.505,,-8.89,,,,-20.169,,148.464,,,,0,,0,,0,,346,,,,3.73,,1.772,,305.459,,1.071,,-5.662,,100,,-42.512,,4.75,,0.271,,0.432,,0.769,
2024/12/26 8:00,211684,13.871,,2.268,,278.738,,-13.71,,,,-20.169,,148.464,,,,0,,0,,0,,2.952,,,,4.33,,1.616,,325.171,,2.308,,2.107,,100,,-43.755,,4.547,,0.051,,0.796,,2.122,
2024/12/26 8:10,211685,13.163,,1.418,,280.087,,-12.96,,,,-20.169,,148.464,,,,0,,0,,0,,7.632,,,,4.32,,1.872,,317.324,,1.541,,2.305,,100,,-42.321,,5.628,,0.025,,0.272,,1.39,
2024/12/26 8:20,211686,10.556,,100,,296.174,,-9.474,,,,-20.169,,148.464,,,,0,,0,,0,,1.635,,,,4.01,,1.884,,324.859,,1.373,,4.656,,-43.36,,4.911,,1.347,,1.393,,2.503,,1,
2024/12/26 8:30,211687,9.58,,100,,282.932,,-9.337,,,,-20.169,,148.464,,,,0,,0,,0,,12.26,,,,2.83,,1.723,,319.625,,0.761,,2.144,,-43.015,,4.889,,0.733,,1.053,,-1.394,,-1,
2024/12/26 8:40,211688,0.856,,100,,305.889,,-0.694,,,,-20.169,,148.464,,,,0,,0,,0,,22.51,,,,4.6,,2.182,,268.487,,2.539,,0.502,,-38.27,,13.571,,2.368,,3.517,,9.044,,1,
2024/12/26 8:50,211689,2.914,,4.233,,327.64,,-1.56,,,,-20.169,,148.464,,,,0,,0,,0,,86.3,,,,3.48,,2.007,,203.386,,4.327,,2.462,,100,,-33.476,,5.057,,0.161,,2.387,,3.495,
2024/12/26 9:00,211690,5.329,,3.788,,157.993,,1.997,,,,-20.169,,148.464,,,,0,,0,,0,,125.4,,,,4.11,,2.09,,171.919,,4.058,,-4.941,,100,,-37.903,,7.039,,0.326,,1.497,,3.479,
2024/12/26 9:10,211691,13.165,,2.484,,132.105,,9.767,,,,-20.169,,148.464,,,,0,,0,,0,,176.7,,,,4.1,,1.796,,157.379,,2.487,,-8.827,,100,,-41.37,,14.178,,0.01,,0.846,,2.335,
2024/12/26 9:20,211692,20.587,,3.145,,130.877,,15.566,,,,-20.169,,148.464,,,,0,,0,,0,,159.8,,,,2.99,,1.79,,154.244,,3.327,,-13.473,,100,,-41.479,,13.129,,0.318,,1.316,,2.851,
2024/12/26 9:30,211693,31.752,,100,,136.204,,21.975,,,,-20.169,,148.464,,,,0,,0,,0,,144.2,,,,2.47,,1.412,,151.254,,2.81,,-22.919,,-38.414,,8.269,,2.628,,2.826,,9.816,,1,
2024/12/26 9:40,211694,29.139,,100,,147.607,,15.611,,,,-20.169,,148.464,,,,0,,0,,0,,186.5,,,,3.03,,1.483,,153.984,,3.491,,-24.605,,-40.817,,16.483,,3.253,,3.53,,1.263,,0,
2024/12/26 9:50,211695,39.669,,100,,140.432,,25.269,,,,-20.169,,148.464,,,,0,,0,,0,,251.1,,,,2.89,,1.465,,154.394,,3.048,,-30.58,,-39.686,,11.134,,2.907,,3.086,,9.178,,1,
2024/12/26 10:00,211696,30.655,,100,,119.58,,26.659,,,,-20.169,,148.464,,,,0,,0,,0,,183.7,,,,2.82,,1.183,,146.78,,6.247,,-15.132,,-37.706,,12.089,,0.65,,6.423,,4.172,,4,
2024/12/26 10:10,211697,33.58,,100,,125.009,,27.504,,,,-20.169,,148.464,,,,0,,0,,0,,161,,,,2.84,,1.613,,146.353,,3.546,,-19.265,,-39.676,,10.583,,0.574,,3.58,,2.436,,2,
2024/12/26 10:20,211698,32.198,,100,,128.219,,25.296,,,,-20.169,,148.464,,,,0,,0,,0,,134.8,,,,3.22,,1.865,,148.908,,4.466,,-19.92,,-38.692,,8.664,,0.503,,5.064,,2.76,,3,
2024/12/26 10:30,211699,35.682,,5.194,,119.714,,30.99,,,,-20.169,,148.464,,,,0,,0,,0,,133.7,,,,4.78,,2.672,,147.222,,5.698,,-17.687,,100,,-39.605,,6.78,,0.468,,3.183,,4.084,
2024/12/26 10:40,211700,30.89,,4.564,,113.942,,28.232,,,,-20.169,,148.464,,,,0,,0,,0,,131.4,,,,4.97,,2.669,,145.833,,4.772,,-12.536,,100,,-38.382,,7.312,,0.081,,2.62,,3.734,
2024/12/26 10:50,211701,30.528,,5.178,,121.355,,26.069,,,,-20.169,,148.464,,,,0,,0,,0,,145.7,,,,5.35,,2.966,,146.305,,5.678,,-15.885,,100,,-37.223,,7.248,,0.252,,2.99,,4.226,
2024/12/26 11:00,211702,26.157,,4.721,,120.927,,22.438,,,,-20.169,,148.464,,,,0,,0,,0,,142.2,,,,4.06,,2.554,,141.15,,5.195,,-13.443,,100,,-37.583,,8.279,,0.458,,2.917,,3.71,
2024/12/26 11:10,211703,20.759,,100,,136.93,,14.176,,,,-20.169,,148.464,,,,0,,0,,0,,144.3,,,,4.01,,2.241,,156.529,,4.182,,-15.165,,-34.903,,7.675,,3.655,,4.325,,2.026,,0,
2024/12/26 11:20,211704,25.335,,100,,134.531,,18.061,,,,-20.169,,148.464,,,,0,,0,,0,,141.8,,,,4.35,,2.662,,149.704,,4.156,,-17.767,,-36.181,,7.557,,3.478,,4.79,,2.275,,0,
2024/12/26 11:30,211705,20.826,,5.422,,136.233,,14.406,,,,-20.169,,148.464,,,,0,,0,,0,,144.1,,,,4.38,,2.761,,152.633,,5.593,,-15.04,,100,,-36.182,,7.053,,0.175,,3.054,,4.476,
2024/12/26 11:40,211706,21.263,,4.654,,130.337,,16.208,,,,-20.169,,148.464,,,,0,,0,,0,,132.4,,,,3.74,,1.986,,153.75,,4.714,,-13.763,,100,,-37.213,,7.121,,0.134,,2.55,,3.894,
2024/12/26 11:50,211707,17.82,,100,,130.649,,13.52,,,,-20.169,,148.464,,,,0,,0,,0,,189.5,,,,4.3,,1.824,,149.605,,3.924,,-11.608,,-37.172,,8.781,,0.477,,3.976,,1.809,,3,
2024/12/26 11:50,211708,17.82,,100,,130.649,,13.52,,,,-20.169,,148.464,,,,0,,0,,0,,189.5,,,,4.3,,1.824,,149.605,,3.924,,-11.608,,-37.172,,8.781,,0.477,,3.976,,1.809,,3,
2024/12/26 12:00,211709,15.69,,7.409,,123.875,,13.027,,,,-20.169,,148.464,,,,0,,0,,0,,166,,,,4.81,,2.352,,147.198,,8.655,,-8.746,,100,,-37.82,,8.344,,1.227,,4.545,,5.85,
2024/12/26 12:10,211710,11.903,,100,,107.059,,11.38,,,,-20.169,,148.464,,,,0,,0,,0,,149.6,,,,4.4,,1.921,,142.111,,5.042,,-3.492,,-36.174,,10.869,,0.798,,5.125,,3.314,,3,
2024/12/26 12:20,211711,14.643,,4.902,,111.121,,13.66,,,,-20.169,,148.464,,,,0,,0,,0,,162.9,,,,3.65,,1.642,,142.827,,5.17,,-5.277,,100,,-37.144,,10.288,,0.113,,3.245,,3.676,
2024/12/26 12:30,211712,14.717,,100,,113.44,,13.502,,,,-20.169,,148.464,,,,0,,0,,0,,284.7,,,,1.87,,0.739,,143.512,,4.965,,-5.854,,-37.623,,9.842,,3.822,,5.05,,3.165,,0,
2024/12/26 12:40,211713,15.857,,100,,130.141,,12.122,,,,-20.169,,148.464,,,,0,,0,,0,,142.4,,,,3.91,,1.662,,145.6,,4.747,,-10.222,,-38.524,,9.188,,3.643,,5.05,,3.045,,0,
2024/12/26 12:50,211714,15.521,,100,,138.1,,10.366,,,,-20.169,,148.464,,,,0,,0,,0,,125.7,,,,3.76,,2.237,,146.951,,6.146,,-11.553,,-36.452,,9.474,,0.927,,6.279,,3.677,,4,
2024/12/26 13:00,211715,14.974,,7.253,,127.356,,11.902,,,,-20.169,,148.464,,,,0,,0,,0,,158.4,,,,4.12,,1.52,,147.857,,7.324,,-9.086,,100,,-37.403,,7.776,,0.067,,4.435,,5.743,
2024/12/26 13:10,211716,10.119,,4.674,,127.28,,8.051,,,,-20.169,,148.464,,,,0,,0,,0,,162.9,,,,4.04,,1.403,,150.74,,4.787,,-6.129,,100,,-34.972,,8.069,,0.061,,2.686,,3.826,
2024/12/26 13:20,211717,9.157,,3.626,,161.516,,2.903,,,,-20.169,,148.464,,,,0,,0,,0,,183.5,,,,2.98,,1.105,,150.566,,3.765,,-8.685,,100,,-36.307,,10.068,,0.049,,1.946,,3.06,
2024/12/26 13:30,211718,7.68,,3.324,,157.768,,2.906,,,,-20.169,,148.464,,,,0,,0,,0,,193.9,,,,4.02,,1.788,,150.352,,3.443,,-7.109,,100,,-37.762,,9.712,,0.136,,1.813,,2.787,
2024/12/26 13:40,211719,5.983,,100,,170.1,,1.029,,,,-20.169,,148.464,,,,0,,0,,0,,158.9,,,,3.56,,1.871,,155.016,,4.528,,-5.894,,-33.762,,7.08,,3.883,,4.646,,2.33,,0,
2024/12/26 13:50,211720,6.577,,3.589,,161.123,,2.128,,,,-20.169,,148.464,,,,0,,0,,0,,131.7,,,,3.55,,1.152,,154.454,,3.791,,-6.223,,100,,-36.258,,11.143,,0.064,,2.006,,2.977,
